maker_id,maker_name,country,century,N_Sales,Span_Years,First_Sale,Last_Sale,Real_CAGR_%,Is_Dead
722,"Stradivari, Antonio",Italy,17,171,175,1850,2025,2.959018812585046,True
737,"Tecchler, David",Italy,17,38,98,1927,2025,2.7443108491172596,True
1547,"Guarneri, Pietro of Mantua",Italy,17,41,132,1893,2025,2.7222356088083766,True
741,"Testore, Carlo Giuseppe",Italy,17,39,117,1909,2026,2.654366919350881,True
220,"Grancino, Giovanni Battista I",Italy,17,58,88,1938,2026,2.6458718820868032,True
756,"Tononi, Giovanni",Italy,17,30,71,1955,2026,2.612238013791046,True
8,"Amati, Antonio & Girolamo",Italy,17,44,117,1908,2025,2.5413434536525115,True
1383,"Guarneri, Giuseppe 'filius Andreae'",Italy,17,42,117,1906,2023,2.408906059521021,True
10,"Marchioni, Don Nicola 'Don Nicolo Amati'",Italy,17,26,65,1959,2024,2.2206073480707245,True
12,"Amati, Nicolò",Italy,17,76,169,1857,2026,2.1810035079610657,True
623,"Rogeri, Giovanni Battista",Italy,17,36,90,1936,2026,1.9849468270542792,True
241,"Guarneri, Andrea",Italy,17,68,116,1909,2025,1.8931687435701727,True
636,"Rugeri, Francesco",Italy,17,50,87,1938,2025,1.86494044216301,True
407,"Maggini, Giovanni Paolo",Italy,17,30,126,1893,2019,1.702370502861661,True
1195,"Cappa, Gioffredo",Italy,17,53,97,1927,2024,1.2829915755321997,True
187,"Gagliano, Alessandro",Italy,17,39,99,1927,2026,1.2212489735887289,True
1852,"Mariani, Antonio",Italy,17,13,133,1893,2026,0.9064700447680707,True
1473,"Goffriller, Matteo",Italy,17,34,54,1969,2023,0.19809400536949795,True
1052,"Montagnana, Domenico",Italy,18,25,71,1955,2026,5.9102669620288095,True
193,"Gagliano, Raffaele & Antonio",Italy,18,29,46,1980,2026,5.554493239107416,True
126,"Ceruti, Giovanni Battista",Italy,18,30,67,1957,2024,5.373491441092204,True
421,"Mantegazza, Pietro Giovanni",Italy,18,11,80,1930,2010,4.948891478569362,True
720,"Storioni, Lorenzo",Italy,18,46,91,1933,2024,4.451955063381163,True
443,"Mezzadri, Alessandro",Italy,18,13,50,1966,2016,4.25764755301663,True
242,"Guarneri, Pietro of Venice",Italy,18,14,86,1936,2022,4.056692728506817,True
234,"Guadagnini, Giovanni Battista",Italy,18,105,90,1935,2025,4.007189912438602,True
189,"Gagliano, Ferdinando",Italy,18,65,56,1967,2023,3.7781582777172806,True
1164,"Vinaccia, Gennaro",Italy,18,12,42,1983,2025,3.6561439887969227,True
1203,"Gigli, Giulio Cesare",Italy,18,12,84,1936,2020,3.5941951198278588,True
1621,"Balestrieri, Tommaso",Italy,18,45,90,1933,2023,3.3151501544739226,True
1202,"Celoniato, Giovanni Francesco",Italy,18,11,47,1973,2020,3.208452690658725,True
1594,"Serafin, Santo",Italy,18,32,91,1931,2022,3.2010245584859875,True
1548,"Landolfi, Pietro Antonio",Italy,18,18,68,1956,2024,3.159307196368566,True
1497,"Gagliano, Nicolò",Italy,18,140,70,1956,2026,3.157069030499926,True
1201,"Guidanti, Giovanni",Italy,18,27,70,1955,2025,3.091311529457008,True
240,"Guarneri, Bartolomeo Giuseppe 'del Gesù'",Italy,18,32,166,1857,2023,3.0865662610822797,True
743,"Testore, Carlo Antonio",Italy,18,94,66,1959,2025,3.009744033273809,True
192,"Gagliano, Giuseppe",Italy,18,74,88,1938,2026,2.9860166062906757,True
97,"Calcagno, Bernardo",Italy,18,32,65,1956,2021,2.8650182902787424,True
191,"Gagliano, Giovanni I",Italy,18,19,44,1970,2014,2.75973571149688,True
98,"Camilli, Camillo",Italy,18,43,56,1967,2023,2.700732178993115,True
742,"Testore, Paolo Antonio",Italy,18,29,56,1968,2024,2.6472149733892003,True
1371,"Gaffino, Joseph",Italy,18,10,30,1980,2010,2.6276819535536955,True
218,"Gragnani, Antonio",Italy,18,71,95,1930,2025,2.6223385118185893,True
104,"Carcassi, Tomaso",Italy,18,15,53,1970,2023,2.452621261665211,True
105,"Carcassi, Lorenzo",Italy,18,19,53,1971,2024,2.444487628049874,True
190,"Gagliano, Gennaro",Italy,18,63,56,1969,2025,2.2570598411503884,True
1549,"Dalla Costa, Pietro Antonio",Italy,18,13,56,1968,2024,2.143134761310228,True
1274,"Ford, Jacob",Italy,18,10,46,1980,2026,1.9217470461107888,True
183,"Gabrielli, Giovanni Battista",Italy,18,63,115,1909,2024,1.8502025338134054,True
235,"Guadagnini, Giuseppe I",Italy,18,13,51,1974,2025,1.7608141162571034,True
